title,movie_id,cast,crew
Avatar,19995,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",['James Cameron']
Pirates of the Caribbean: At World's End,285,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",['Gore Verbinski']
Spectre,206647,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']",['Sam Mendes']
The Dark Knight Rises,49026,"['Christian Bale', 'Michael Caine', 'Gary Oldman']",['Christopher Nolan']
John Carter,49529,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",['Andrew Stanton']
Spider-Man 3,559,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",['Sam Raimi']
Tangled,38757,"['Zachary Levi', 'Mandy Moore', 'Donna Murphy']",['Byron Howard']
Avengers: Age of Ultron,99861,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",['Joss Whedon']
Harry Potter and the Half-Blood Prince,767,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",['David Yates']
Batman v Superman: Dawn of Justice,209112,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",['Zack Snyder']
Superman Returns,1452,"['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth']",['Bryan Singer']
Quantum of Solace,10764,"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric']",['Marc Forster']
Pirates of the Caribbean: Dead Man's Chest,58,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",['Gore Verbinski']
The Lone Ranger,57201,"['Johnny Depp', 'Armie Hammer', 'William Fichtner']",['Gore Verbinski']
Man of Steel,49521,"['Henry Cavill', 'Amy Adams', 'Michael Shannon']",['Zack Snyder']
The Chronicles of Narnia: Prince Caspian,2454,"['Ben Barnes', 'William Moseley', 'Anna Popplewell']",['Andrew Adamson']
The Avengers,24428,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",['Joss Whedon']
Pirates of the Caribbean: On Stranger Tides,1865,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane']",['Rob Marshall']
Men in Black 3,41154,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin']",['Barry Sonnenfeld']
The Hobbit: The Battle of the Five Armies,122917,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",['Peter Jackson']
The Amazing Spider-Man,1930,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']",['Marc Webb']
Robin Hood,20662,"['Russell Crowe', 'Cate Blanchett', 'Max von Sydow']",['Ridley Scott']
The Hobbit: The Desolation of Smaug,57158,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",['Peter Jackson']
The Golden Compass,2268,"['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig']",['Chris Weitz']
King Kong,254,"['Naomi Watts', 'Jack Black', 'Adrien Brody']",['Peter Jackson']
Titanic,597,"['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher']",['James Cameron']
Captain America: Civil War,271110,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']",['Anthony Russo']
Battleship,44833,"['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna']",['Peter Berg']
Jurassic World,135397,"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan']",['Colin Trevorrow']
Skyfall,37724,"['Daniel Craig', 'Judi Dench', 'Javier Bardem']",['Sam Mendes']
Spider-Man 2,558,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",['Sam Raimi']
Iron Man 3,68721,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",['Shane Black']
Alice in Wonderland,12155,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway']",['Tim Burton']
X-Men: The Last Stand,36668,"['Hugh Jackman', 'Halle Berry', 'Ian McKellen']",['Brett Ratner']
Monsters University,62211,"['Billy Crystal', 'John Goodman', 'Steve Buscemi']",['Dan Scanlon']
Transformers: Revenge of the Fallen,8373,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel']",['Michael Bay']
Transformers: Age of Extinction,91314,"['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer']",['Michael Bay']
Oz: The Great and Powerful,68728,"['James Franco', 'Mila Kunis', 'Rachel Weisz']",['Sam Raimi']
The Amazing Spider-Man 2,102382,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']",['Marc Webb']
TRON: Legacy,20526,"['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde']",['Joseph Kosinski']
Cars 2,49013,"['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine']",['John Lasseter']
Green Lantern,44912,"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard']",['Martin Campbell']
Toy Story 3,10193,"['Tom Hanks', 'Tim Allen', 'Ned Beatty']",['Lee Unkrich']
Terminator Salvation,534,"['Christian Bale', 'Sam Worthington', 'Anton Yelchin']",['McG']
Furious 7,168259,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']",['James Wan']
World War Z,72190,"['Brad Pitt', 'Mireille Enos', 'Abigail Hargrove']",['Marc Forster']
X-Men: Days of Future Past,127585,"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender']",['Bryan Singer']
Star Trek Into Darkness,54138,"['Chris Pine', 'Zachary Quinto', 'Zoe Saldana']",['J.J. Abrams']
Jack the Giant Slayer,81005,"['Nicholas Hoult', 'Eleanor Tomlinson', 'Ewan McGregor']",['Bryan Singer']
The Great Gatsby,64682,"['Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan']",['Baz Luhrmann']
Prince of Persia: The Sands of Time,9543,"['Jake Gyllenhaal', 'Gemma Arterton', 'Ben Kingsley']",['Mike Newell']
Pacific Rim,68726,"['Idris Elba', 'Charlie Hunnam', 'Charlie Day']",['Guillermo del Toro']
Transformers: Dark of the Moon,38356,"['Shia LaBeouf', 'John Malkovich', 'Ken Jeong']",['Michael Bay']
Indiana Jones and the Kingdom of the Crystal Skull,217,"['Harrison Ford', 'Cate Blanchett', 'Shia LaBeouf']",['Steven Spielberg']
The Good Dinosaur,105864,"['Raymond Ochoa', 'Jack Bright', 'Jeffrey Wright']",['Peter Sohn']
Brave,62177,"['Kelly Macdonald', 'Julie Walters', 'Billy Connolly']",['Brenda Chapman']
Star Trek Beyond,188927,"['Chris Pine', 'Zachary Quinto', 'Karl Urban']",['Justin Lin']
WALL·E,10681,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin']",['Andrew Stanton']
Rush Hour 3,5174,"['Chris Tucker', 'Jackie Chan', 'Hiroyuki Sanada']",['Brett Ratner']
2012,14161,"['John Cusack', 'Amanda Peet', 'Chiwetel Ejiofor']",['Roland Emmerich']
A Christmas Carol,17979,"['Gary Oldman', 'Jim Carrey', 'Steve Valentine']",['Robert Zemeckis']
Jupiter Ascending,76757,"['Mila Kunis', 'Channing Tatum', 'Sean Bean']",['Lilly Wachowski']
The Legend of Tarzan,258489,"['Alexander Skarsgård', 'Margot Robbie', 'Christoph Waltz']",['David Yates']
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",411,"['William Moseley', 'Anna Popplewell', 'Skandar Keynes']",['Andrew Adamson']
X-Men: Apocalypse,246655,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence']",['Bryan Singer']
The Dark Knight,155,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']",['Christopher Nolan']
Up,14160,"['Ed Asner', 'Christopher Plummer', 'Jordan Nagai']",['Pete Docter']
Monsters vs Aliens,15512,"['Seth Rogen', 'Reese Witherspoon', 'Hugh Laurie']",['Conrad Vernon']
Iron Man,1726,"['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges']",['Jon Favreau']
